ship_type,total_fuel_mt,fuel_per_nm_kg,co2_per_nm_kg,hours_at_sea
Bulk carrier,735.317,74.18,234.32,914.8
Bulk carrier,905.218,52.82,165.15,1433.79
Bulk carrier,928.971,62.61,196.4,1214.4
Bulk carrier,251.85,58.56,184.09,375.1
Bulk carrier,1195.54,56.27,175.51,2024.1
Bulk carrier,656.85,67.78,213.62,889.2
Bulk carrier,895.54,56.81,178.31,1509.7
Bulk carrier,1279.95,68.2,212.89,1613.2
Bulk carrier,485.90927,65.82,206.75,669.95
Bulk carrier,228.17146,64.53,201.22,309.45
Bulk carrier,360.38386,49.65,156.46,626.08
Bulk carrier,1560.21279,76.68,240.33,1748.8
Bulk carrier,1725.04,70.33,220.17,2233.2
Bulk carrier,1223.24,64.78,202.86,1542.0
Bulk carrier,758.58,61.24,191.72,1093.7
Ro-pax ship,1510.65,67.27,215.65,1831.0
Ro-ro ship,1161.82,66.09,209.22,1421.6
Ro-pax ship,1414.1,105.46,331.13,1034.0
Ro-ro ship,1304.5,39.87,127.82,2563.8
Ro-pax ship,3694.8,97.87,313.76,3277.99
Ro-pax ship,4642.3,135.09,425.01,2610.0
Ro-pax ship,3476.33,110.15,351.41,2539.28
Ro-pax ship,1954.842,127.33,404.67,1253.47
Ro-pax ship,1724.751,130.55,415.14,1237.7
Ro-pax ship,9591.651,231.17,725.31,2290.84
Ro-pax ship,7168.704,236.92,741.39,1640.25
Bulk carrier,4131.12,89.45,285.65,4653.7
Ro-pax ship,4131.51,101.85,321.58,2737.58
Ro-pax ship,5023.0,97.75,306.5,2265.0
Ro-ro ship,1799.71,112.33,357.61,1181.16
Ro-pax ship,1547.09,99.51,312.32,1368.8
Ro-ro ship,1602.82555,90.96,285.69,1522.0
Ro-pax ship,3009.41311,115.29,362.07,2517.5
Ro-pax ship,5766.99,142.91,458.16,2960.65
Ro-pax ship,3407.5,148.65,476.56,1955.4
Ro-pax ship,833.31,157.82,505.98,345.1
Ro-pax ship,4224.88,85.03,272.61,3888.36
Other ship types,623.75,66.34,212.67,927.51
Ro-pax ship,3442.281,106.36,340.99,3099.42
Ro-ro ship,1916.1,69.74,223.59,2159.1
General cargo ship,68.26,27.95,89.6,288.32
Ro-pax ship,2099.8,51.54,165.25,4223.0
Ro-pax ship,7237.81958,184.81,578.96,3343.73
Ro-pax ship,1423.3,160.73,515.31,839.0
Ro-pax ship,5574.93,122.95,389.09,3293.86
Ro-pax ship,1671.77,78.86,250.32,1794.0
Ro-pax ship,3727.311,207.94,652.71,1010.28
Ro-pax ship,10564.3,126.0,398.74,5282.67
Passenger ship (Cruise Passenger ship),2253.8,170.8,547.6,1201.9
Ro-pax ship,983.27,78.41,251.38,915.0
Ro-pax ship,4358.68,193.33,612.24,4464.53
