ship_type,mean,median,std,count
Bulk carrier,171.53457572502685,84.07,4717.684870728946,3724
Container ship,6279.447745471878,170.05,279243.49036873056,2098
Oil tanker,190.5587560581583,129.4,1614.7182697042592,1857
Chemical tanker,82.88094594594595,80.875,26.56087854742969,1406
General cargo ship,65.0703205629398,58.59,133.11694618270147,1279
Vehicle carrier,100.81993506493507,102.695,16.711662579058228,462
Ro-pax ship,703.3555424528302,149.25,11352.076001183843,424
Other ship types,80.78238605898123,68.57,43.33269574313012,373
LNG carrier,241.39837606837608,205.18,301.7638595068969,351
Gas carrier,91.8093373493976,80.75,49.88326343130075,332
Ro-ro ship,104.37114537444934,105.09,32.12237800340779,227
Passenger ship,257.514347826087,240.51,151.02448401267893,207
Refrigerated cargo carrier,83.3913559322034,81.41,24.042581026571124,118
Container/ro-ro cargo ship,134.3726153846154,136.22,29.897799943982243,65
Passenger ship (Cruise Passenger ship),197.49388888888888,204.64,112.8913774198527,18
Combination carrier,93.989,96.065,25.675075008004683,10
Other ship types (Offshore),814.3766666666667,39.235,1901.8415636184488,6
