vessel_id,ship_type,fuel_type,displacement_tons,cargo_load_pct,speed_knots,distance_nm,weather,power_kw,voyage_hours,fuel_kg,co2_kg,cost_usd
V0000,Bulk Carrier,HFO,157375.7,0.857,13.49,92.4,Stormy,43235.5,6.85,24518.39,76252.19,13485.11
V0000,Bulk Carrier,HFO,40498.2,0.786,12.25,216.9,Stormy,12920.1,17.7,27715.5,86195.2,15243.52
V0000,Bulk Carrier,HFO,90946.3,0.897,11.14,299.6,Calm,15479.5,26.9,36985.2,115023.96,20341.86
V0000,Bulk Carrier,HFO,141294.0,0.867,11.77,486.8,Stormy,26820.0,41.35,90953.19,282864.42,50024.25
V0000,Bulk Carrier,HFO,94675.4,0.847,10.22,119.4,Moderate,12646.0,11.69,11948.2,37158.89,6571.51
V0000,Bulk Carrier,HFO,72132.1,0.478,11.85,261.3,Calm,14576.7,22.05,23169.31,72056.55,12743.12
V0000,Bulk Carrier,HFO,56305.5,0.82,13.35,246.7,Moderate,19823.4,18.48,38058.03,118360.48,20931.92
V0000,Bulk Carrier,HFO,153161.6,0.809,14.02,224.4,Calm,42967.8,16.0,65631.36,204113.54,36097.25
V0000,Bulk Carrier,HFO,51985.3,0.823,10.04,404.1,Moderate,7994.1,40.26,26623.83,82800.12,14643.11
V0000,Bulk Carrier,HFO,93426.5,0.801,12.84,112.9,Calm,23698.2,8.79,24210.95,75296.06,13316.02
V0001,RoRo,MDO,32950.0,0.582,19.08,299.1,Moderate,28443.0,15.68,34290.35,110072.01,24003.24
V0001,RoRo,MDO,23101.5,0.54,15.72,233.8,Stormy,13146.9,14.88,12937.02,41527.84,9055.91
V0001,RoRo,MDO,18441.5,0.87,16.35,347.9,Moderate,12944.3,21.28,27390.64,87923.96,19173.45
V0001,RoRo,MDO,22191.6,0.454,20.51,125.1,Calm,25346.5,6.1,9507.4,30518.74,6655.18
V0001,RoRo,MDO,23856.3,0.818,15.29,275.5,Calm,11955.8,18.02,21647.31,69487.85,15153.11
V0001,RoRo,MDO,21430.6,0.453,16.41,333.6,Calm,12680.1,20.33,15326.49,49198.03,10728.54
V0001,RoRo,MDO,38856.9,0.982,21.27,364.9,Calm,46075.3,17.16,60658.57,194714.0,42461.0
V0001,RoRo,MDO,31506.7,0.942,17.59,172.5,Calm,22500.3,9.8,23218.37,74530.97,16252.86
